"","X1856","X1860","X1864","X1868","X1872","X1876","X1880","X1884","X1888","X1892","X1896","X1900","X1904","X1908","X1912","X1916","X1920","X1924","X1928","X1932","X1936","X1940","X1944","X1948","X1952","X1956","X1960","X1964","X1968","X1972","X1976"
"California",18.77,32.96,58.63,50.24,56.38,50.88,48.92,52.08,49.95,43.76,49.13,54.48,61.9,55.46,0.58,46.26,66.24,57.21,64.7,37.4,31.7,41.35,42.99,47.14,56.39,55.4,50.1,40.9,47.8,55,50.89
"Connecticut",53.18,53.86,51.38,51.54,52.25,48.34,50.52,48.01,48.44,46.8,63.24,56.94,58.13,59.43,35.88,49.8,62.72,61.54,53.63,48.54,40.35,46.3,46.94,49.55,55.7,63.73,46.27,32.2,44.3,58.6,52.64
"Delaware",2.11,23.71,48.2,40.98,50.99,44.55,47.86,42.75,43.55,48.55,52.94,53.65,54.04,52.09,32.85,50.2,55.71,57.71,65.03,50.55,43.43,45.05,45.27,50.04,51.75,55.09,49,39.1,45.1,59.6,47.27
"Illinois",40.25,50.68,54.41,55.69,56.27,50.09,51.11,50.16,49.54,45.7,55.65,52.83,58.77,54.52,22.13,52.56,67.81,58.84,56.93,42.04,39.69,48.54,48.05,49.24,54.84,59.52,49.8,40.5,47.1,59,51.11
"Indiana",40.03,51.09,53.6,51.39,53,48.27,49.33,48.16,49.05,46.17,50.81,50.6,53.99,48.4,23.11,47.44,55.14,55.25,59.68,42.94,41.89,50.45,52.38,49.58,58.11,59.9,55.03,44,50.3,66.1,53.77
"Iowa",49.13,54.87,64.23,61.92,64.18,58.58,56.85,52.42,52.36,49.6,55.46,57.99,63.37,55.62,24.3,54.06,70.91,55.06,61.8,39.98,42.7,52.03,51.99,47.58,63.76,59.06,56.71,38.1,53,57.6,50.51
"Kentucky",0.26,0.93,30.17,25.45,46.45,37.61,39.8,42.81,44.99,39.74,48.92,48.5,47.11,48.04,25.46,46.52,49.25,48.93,59.33,40.15,39.92,42.3,45.22,41.48,49.84,54.3,53.59,36,43.8,63.4,46.24
"Maine",61.37,64.15,60.22,62.42,67.86,56.73,51.45,55.35,57.49,54.06,67.9,61.89,67.1,63,20.48,50.95,68.92,72.03,68.63,55.83,55.49,51.1,52.44,56.74,66.05,70.87,57.05,31.2,43.1,61.5,50.34
"Maryland",0.32,3.11,55.1,32.8,49.65,43.94,45.37,46.09,47.4,43.48,54.6,51.5,48.83,48.85,23.69,44.78,55.11,45.29,57.06,36.04,37.04,40.83,48.15,49.4,55.36,60.04,46.39,34.5,41.9,61.3,46.87
"Massachusetts",64.72,62.75,72.22,69.67,69.25,57.74,58.5,48.32,53.38,51.85,69.36,57.67,57.92,58.21,31.89,50.54,68.55,62.26,49.15,46.64,41.76,46.36,47,43.17,54.22,59.33,39.55,23.8,32.9,45.2,41.93
"Michigan",56.98,57.18,55.89,56.98,62.67,52.45,52.54,47.89,49.73,47.81,53.85,58.1,69.5,61.93,27.63,52.09,72.8,75.37,70.36,44.45,38.76,49.85,49.18,49.23,55.44,55.63,48.84,33.3,41.5,56.2,52.68
"New Hampshire",53.59,56.89,52.56,55.02,53.95,51.84,51.94,51.15,50.35,51.11,68.74,59.34,60.14,59.32,37.43,49.06,59.84,59.83,58.66,50.42,47.98,46.78,47.87,52.41,60.92,66.11,53.42,36.1,52.1,64,55.68
"New Jersey",28.52,48.13,47.16,49.12,54.22,47,49.02,47.31,47.52,46.24,59.66,55.27,56.68,56.79,20.54,54.35,67.6,62.16,59.77,47.59,39.57,47.93,48.95,50.33,56.81,64.68,49.16,34.4,46.1,61.6,50.99
"New York",46.14,53.71,50.46,49.41,53.12,48.07,50.32,48.15,49.2,45.59,57.55,53.1,53.13,53.11,28.68,51.53,64.56,55.76,49.79,41.33,38.97,48.04,47.3,45.99,55.45,61.2,47.27,31.4,44.3,58.5,47.84
"Ohio",48.49,52.33,56.33,53.97,53.24,50.21,51.73,50.99,49.51,47.66,51.86,52.3,59.73,51.03,26.82,44.18,58.47,58.33,64.89,47.04,37.43,47.8,50.18,49.24,56.76,61.11,53.28,37.1,45.2,59.6,49.9
"Pennsylvania",33.95,56.25,51.75,52.2,62.18,50.61,50.84,52.68,52.73,51.45,60.98,60.74,67.99,58.84,22.4,54.25,65.8,65.35,65.24,50.84,40.85,46.34,48.36,50.93,52.74,56.49,48.74,34.5,44,59.1,48.57
"Rhode Island",57.85,61.22,62.2,66.49,71.94,59.29,62.25,58.07,53.89,50.71,68.33,59.74,60.6,60.76,35.57,51.08,63.97,59.63,49.55,43.31,40.18,43.24,41.26,41.44,50.89,58.31,36.37,19.1,31.8,53,44.24
"Vermont",78.23,75.79,76.1,78.57,78.26,68.58,69.88,66.54,71.24,68.1,80.1,75.79,77.98,75.12,37.13,62.44,75.87,78.22,66.88,57.66,56.44,54.79,57.06,61.55,71.46,72.18,58.65,33.7,52.8,62.7,56.01
"Wisconsin",55.29,56.58,55.88,56.24,54.6,50.9,54.04,50.38,49.77,46.02,59.93,60.04,63.24,54.52,32.68,49.25,70.65,37.06,53.52,31.19,30.26,48.32,50.37,46.28,60.95,61.58,51.77,37.9,47.9,53.4,49.16
